fixture,original_status,original_iterations,accepted,candidate_equations,reference_updates,root_residual,reference_residual,coordinate_difference_max,weight_difference_max,floor_masks_equal
shape-success-recovery-current-32-32-129,0,21,True,19,16,3.408635549294878e-15,8.027682745907486e-11,6.100553546241391e-11,2.6386171025905014e-10,True
shape-success-recovery-current-32-32-13,0,21,True,19,20,1.698378080195371e-15,7.16742858317046e-11,2.5136794685246863e-11,9.270728629218183e-11,True
shape-success-recovery-current-32-32-130,0,27,True,19,23,2.983827236609415e-15,7.220335440649706e-11,5.061767483825582e-11,3.042129881336564e-10,True
shape-success-recovery-current-32-32-131,0,11,True,19,10,2.333968100079037e-15,9.447333545029483e-11,1.9673232568332447e-11,6.810674246793269e-11,True
shape-success-recovery-current-32-32-132,0,36,True,21,36,2.5910909078484895e-15,9.687074800797978e-11,9.143374264914054e-11,4.0512737609077476e-10,True
shape-success-recovery-current-32-32-133,0,2,True,18,0,3.0624622308747084e-15,8.486341121700997e-15,8.097376247354324e-16,0.0,True
shape-success-recovery-current-32-32-134,0,17,True,19,15,4.422999302585748e-15,5.778597866073183e-11,2.1513480799166197e-11,6.877687308559643e-11,True
shape-success-recovery-current-32-32-135,0,17,True,19,13,7.245350399377844e-15,5.504056925982121e-11,1.6758478817167306e-11,3.0051283683718566e-10,True
shape-success-recovery-current-32-32-136,0,32,True,19,32,2.6003682100715316e-15,7.182291693912629e-11,3.4080933601205696e-11,1.3312173585688925e-10,True
shape-success-recovery-current-32-32-137,0,25,True,19,14,2.90175065377964e-15,9.245076926234219e-11,1.4147146094281518e-10,8.038480991956476e-10,True
shape-success-recovery-current-32-32-138,0,2,True,18,0,4.852004525389994e-15,2.29340549780266e-14,8.047657267317083e-16,0.0,True
shape-success-recovery-current-32-32-139,0,31,True,19,30,5.413816131396121e-15,7.449969240707316e-11,3.759614146219001e-11,1.4071416254424207e-10,True
shape-success-recovery-current-32-32-14,0,23,True,19,18,4.29434629536464e-14,7.096077952599148e-11,4.431835485329503e-11,4.0315961680192913e-10,True
shape-success-recovery-current-32-32-140,0,14,True,19,12,4.885179704381146e-15,5.853266834119257e-11,1.5473662397925457e-11,4.5032644280240675e-11,True
shape-success-recovery-current-32-32-141,0,8,True,19,8,2.4614192422500583e-15,3.0038669514097657e-11,6.699057345677058e-12,1.6592338614174196e-11,True
shape-success-recovery-current-32-32-142,0,2,True,18,0,1.170331905671781e-15,1.0663024029454004e-14,4.810516941136702e-16,0.0,True
shape-success-recovery-current-32-32-143,0,42,True,19,26,1.2566608285587247e-14,8.011080687708727e-11,6.94041315314041e-11,3.5765812533838925e-10,True
shape-success-recovery-current-32-32-144,0,2,True,18,0,1.722369569533564e-15,1.7217713155281655e-14,8.004221134074132e-16,0.0,True
shape-success-recovery-current-32-32-145,0,40,True,19,38,1.175067826251703e-15,9.44502809296921e-11,1.0034712347314155e-10,4.1259717864505774e-10,True
shape-success-recovery-current-32-32-146,0,38,True,19,30,2.4191091440552466e-14,9.022765867783278e-11,7.678471596786361e-11,3.8455000295201103e-10,True
shape-success-recovery-current-32-32-147,0,15,True,19,15,3.1327014893530206e-14,7.887425703616119e-11,9.290401165275144e-12,2.0530638300542137e-10,True
shape-success-recovery-current-32-32-148,0,2,True,18,0,3.0015131736076293e-15,1.900958343284832e-14,6.427221345364656e-16,0.0,True
shape-success-recovery-current-32-32-149,0,2,True,18,0,1.5343706925269798e-15,1.2826042338236098e-14,7.976322971182991e-16,0.0,True
shape-success-recovery-current-32-32-15,0,28,True,19,21,2.1556925663879807e-14,8.052836175664879e-11,1.0799356085958022e-10,1.0608238731890651e-09,True
shape-success-recovery-current-32-32-150,0,15,True,19,15,1.009368751388588e-14,6.284287450412449e-11,1.8975970410826837e-11,3.435203232982076e-10,True
shape-success-recovery-current-32-32-151,0,25,True,19,16,2.098495980261247e-14,5.5300336360364076e-11,5.100607387896415e-11,2.866774595489119e-10,True
shape-success-recovery-current-32-32-152,0,28,True,19,22,9.022475846090093e-15,8.051187481385746e-11,7.232042008374382e-11,3.2486802137299264e-10,True
shape-success-recovery-current-32-32-153,0,36,True,19,31,2.6763011510133e-14,7.685339297485411e-11,2.9342125965253844e-11,1.6398898905478632e-10,True
shape-success-recovery-current-32-32-154,0,26,True,19,16,9.25439144995414e-15,6.14811735006875e-11,2.1469499104930264e-11,1.2963508044805394e-10,True
shape-success-recovery-current-32-32-155,0,18,True,19,16,2.4178212843284617e-15,7.689700616939536e-11,2.20904895153511e-11,7.702682935928351e-11,True
shape-success-recovery-current-32-32-156,0,24,True,19,21,1.0666049189526685e-15,8.869885318029407e-11,6.991113629336669e-11,8.78683570348926e-10,True
shape-success-recovery-current-32-32-157,0,40,True,19,35,6.599316487375113e-15,8.921961841127927e-11,1.2774752584863265e-10,5.135600833483522e-10,True
shape-success-recovery-current-32-32-158,0,31,True,19,24,2.561545274186963e-15,7.833195190500596e-11,6.550887319136087e-11,3.201187648294024e-10,True
shape-success-recovery-current-32-32-159,0,14,True,19,10,1.7933097604423465e-14,7.007709499821819e-11,1.3041420461340716e-11,1.7606682778392724e-10,True
shape-success-recovery-current-32-32-16,0,27,True,19,19,3.3400868954941985e-14,6.30212416099896e-11,3.9256992992859846e-11,3.3647967745409346e-10,True
shape-success-recovery-current-32-32-160,0,2,True,18,0,1.1549880900949017e-15,7.46276025197541e-15,6.361775752193409e-16,0.0,True
shape-success-recovery-current-32-32-161,0,18,True,19,13,3.702819297545812e-15,6.601824629428343e-11,3.6420024964746154e-11,1.9149670738016766e-10,True
shape-success-recovery-current-32-32-162,0,20,True,19,19,7.399134754459672e-15,5.978505803039204e-11,2.3688538690634113e-11,8.944567309043805e-11,True
shape-success-recovery-current-32-32-163,0,30,True,19,23,1.4469950147943204e-14,7.6165782488111e-11,3.5947727703484026e-11,2.2531665422320657e-10,True
shape-success-recovery-current-32-32-164,0,28,True,19,24,3.11076641727654e-15,9.340197283780262e-11,4.918255000782205e-11,2.0030338498955302e-10,True
shape-success-recovery-current-32-32-165,0,2,True,18,0,6.456471994464557e-15,1.8736428532955968e-14,6.368770591489246e-16,0.0,True
shape-success-recovery-current-32-32-166,0,32,True,19,29,1.337917876979735e-15,8.460147907381786e-11,5.94604953263404e-11,2.1724283483237627e-10,True
shape-success-recovery-current-32-32-167,0,39,True,19,35,8.745985389546586e-14,8.134377940823588e-11,5.56236242680211e-11,3.9529129969295695e-10,True
shape-success-recovery-current-32-32-17,0,30,True,19,21,7.138720591219855e-14,6.512189446180348e-11,2.8004280372517318e-11,1.6949397441123892e-10,True
shape-success-recovery-current-32-32-18,0,2,True,18,0,1.0193382759371396e-14,8.080926656546253e-14,6.407591631131524e-16,0.0,True
shape-success-recovery-current-32-32-19,0,27,True,19,26,1.6676406416705436e-15,8.366275775092168e-11,5.866669328550406e-11,1.7605439328605144e-10,True
shape-success-recovery-current-32-32-2,0,2,True,18,0,5.523235736611105e-15,2.763365727715874e-14,8.052475871393729e-16,0.0,True
shape-success-recovery-current-32-32-20,0,28,True,19,21,5.565104456028755e-15,8.421396900062127e-11,7.652977657795142e-11,2.761860740108091e-10,True
shape-success-recovery-current-32-32-21,0,44,True,21,46,6.655283953309489e-15,9.75342388995129e-11,7.78609501362349e-11,2.5930529945483727e-10,True
shape-success-recovery-current-32-32-22,0,2,True,18,0,3.1765783557722687e-15,3.745170033394013e-14,6.410485494162046e-16,0.0,True
