effect,serial_id,parameter,delta,qr_svd_resolution,resolved
quantization_true_b,3,C,3.271185544662103e-10,4.884981308350689e-15,True
quantization_true_b,4,A,1.528068249712078e-08,4.796163466380676e-14,True
quantization_true_b,4,C,-9.313282367529041e-10,5.10702591327572e-15,True
quantization_true_b,5,A,5.225688326504496e-09,1.6342482922482304e-13,True
quantization_true_b,5,C,1.247223879730086e-09,2.3092638912203256e-14,True
quantization_true_b,6,A,-2.859191905457692e-08,7.105427357601002e-15,True
quantization_true_b,6,C,8.975846454983838e-11,9.769962616701378e-15,True
quantization_true_b,7,A,-1.3374901186580246e-09,8.881784197001252e-15,True
quantization_true_b,7,C,1.3403195220362818e-11,3.219646771412954e-15,True
quantization_true_b,8,A,-2.150953104518294e-08,5.240252676230739e-14,True
quantization_true_b,8,C,3.0685604057723026e-10,9.58955137519979e-15,True
quantization_true_b,9,A,2.124491960131536e-08,1.865174681370263e-14,True
quantization_true_b,9,C,5.960247850822498e-10,6.8833827526759706e-15,True
quantization_true_b,10,A,-1.7129549334526928e-08,1.1546319456101628e-13,True
quantization_true_b,10,C,-1.816508221619273e-09,1.8179902028236938e-14,True
quantization_true_b,11,A,1.8860651707086618e-08,6.483702463810914e-14,True
quantization_true_b,11,C,2.297148915531011e-09,1.7319479184152442e-14,True
quantization_true_b,12,A,-7.946422186932978e-09,3.730349362740526e-14,True
quantization_true_b,12,C,-7.350555719654039e-10,9.992007221626409e-15,True
quantization_true_b,13,A,-6.83948897517439e-09,6.483702463810914e-14,True
quantization_true_b,13,C,1.2370465762856497e-10,1.7208456881689926e-14,True
quantization_true_b,14,A,-6.344367697863618e-09,3.375077994860476e-14,True
quantization_true_b,14,C,7.85181021763226e-10,2.8390484407836425e-14,True
quantization_true_b,15,A,5.61109914087865e-09,1.234568003383174e-13,True
quantization_true_b,15,C,4.906717532282556e-10,4.0245584642661925e-15,True
quantization_true_b,16,A,6.799893981224159e-10,2.7533531010703882e-14,True
quantization_true_b,16,C,-7.443137772789044e-11,1.0325074129013956e-14,True
quantization_true_b,17,A,3.4490830636002556e-08,2.042810365310288e-14,True
quantization_true_b,17,C,-1.4038040174746413e-09,1.607047828144914e-14,True
quantization_true_b,18,A,-2.1951628070837614e-08,1.412203687323199e-13,True
quantization_true_b,18,C,4.809375953040984e-10,1.5265566588595902e-15,True
quantization_true_b,19,A,-4.301786482585612e-09,1.6786572132332367e-13,True
quantization_true_b,19,C,3.8259587165079267e-10,3.2751579226442118e-15,True
quantization_true_b,20,A,2.990838599004064e-08,1.0658141036401503e-14,True
quantization_true_b,20,C,-2.336412285863787e-09,2.8310687127941492e-14,True
quantization_true_b,21,A,-1.3745689031452457e-08,9.592326932761353e-14,True
quantization_true_b,21,C,1.6937076741108115e-10,1.0574874309554616e-14,True
quantization_true_b,22,A,1.3981475532887089e-08,8.43769498715119e-14,True
quantization_true_b,22,C,-3.0317937049773036e-10,5.773159728050814e-15,True
quantization_true_b,23,A,-3.1887683604736594e-08,2.6645352591003757e-14,True
quantization_true_b,23,C,4.5381398638966175e-10,1.2101430968414206e-14,True
quantization_true_b,24,A,2.6944035447229453e-08,4.1744385725905886e-14,True
quantization_true_b,24,C,-1.3269405296778558e-09,4.551914400963142e-15,True
quantization_true_b,25,A,-3.470163978391838e-08,1.829647544582258e-13,True
quantization_true_b,25,C,1.853322217915121e-09,6.300515664747763e-15,True
quantization_true_b,26,A,8.123085315503431e-09,6.750155989720952e-14,True
quantization_true_b,26,C,-9.736884770683574e-10,7.53563877964325e-15,True
quantization_true_b,27,A,1.125001425350547e-08,3.6415315207705135e-14,True
quantization_true_b,27,C,-7.085039221976785e-10,5.662137425588298e-15,True
quantization_true_b,28,A,2.126745446417999e-08,1.5010215292932116e-13,True
quantization_true_b,28,C,1.6557467619193744e-09,8.104628079763643e-15,True
quantization_true_b,29,A,4.83418283181436e-09,1.163513729807164e-13,True
quantization_true_b,29,C,-6.438983790602038e-10,1.3766765505351941e-14,True
quantization_true_b,30,A,1.8612169583320792e-09,7.283063041541027e-14,True
