dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
near-0.02,wider-float32,10,5.999999983697588,0.5000000011012898,-0.20000000163496004,-1.6302411864899113e-08,1.1012898371021151e-09,-1.634960028473742e-09,True
near-0.02,wider-float32,11,7.000000077340546,0.4500000024396458,0.19999999853073097,7.734054641161947e-08,2.4396457631858937e-09,-1.4692690397666297e-09,True
near-0.02,wider-float32,12,7.99999999698315,0.3999999992226719,-0.1999999984176473,-3.016849881021244e-09,-7.773281462952752e-10,1.5823527210745425e-09,True
near-0.02,mixed-float32,1,6.000002052910024,0.5000000921214596,0.19999999287250997,2.052910024197274e-06,9.212145957171458e-08,-7.12749004261326e-09,True
near-0.02,mixed-float32,2,6.999999925767918,0.4499999957608362,-0.1999999992307131,-7.423208181478458e-08,-4.239163797770118e-09,7.692869119502177e-10,True
near-0.02,mixed-float32,3,8.000000060817284,0.4000000016972167,0.20000000150175423,6.08172836535914e-08,1.697216700513593e-09,1.501754220978313e-09,True
near-0.02,mixed-float32,4,5.999998209114704,0.4999999032205301,-0.19999999287625803,-1.7908852960601962e-06,-9.677946988251307e-08,7.123741985193277e-09,True
near-0.02,mixed-float32,5,7.000000031783512,0.4499999999922873,0.20000000137506577,3.1783511822425226e-08,-7.712719352070962e-12,1.375065755704341e-09,True
near-0.02,mixed-float32,6,7.9999999683201395,0.39999999877297154,-0.20000000132362394,-3.16798605126678e-08,-1.2270284788229446e-09,-1.3236239326808175e-09,True
near-0.02,mixed-float32,7,6.000000053709481,0.5000000029565276,0.19999999968861776,5.370948130689612e-08,2.956527578312773e-09,-3.1138225331517333e-10,True
near-0.02,mixed-float32,8,7.00000007378387,0.45000000061474915,-0.20000000054113481,7.378386968071027e-08,6.147491404817629e-10,-5.411348036332697e-10,True
near-0.02,mixed-float32,9,8.000000032575239,0.39999999963617516,0.19999999728605997,3.2575238506638016e-08,-3.638248591286697e-10,-2.713940044918317e-09,True
near-0.02,mixed-float32,10,5.999999983697573,0.5000000011012895,-0.20000000163495793,-1.6302426963932248e-08,1.1012895040352078e-09,-1.6349579190499952e-09,True
near-0.02,mixed-float32,11,7.00000007734055,0.4500000024396458,0.19999999853072972,7.734054996433315e-08,2.4396457631858937e-09,-1.4692702887675324e-09,True
