state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
baseline-recovery-32,72,improved,improved,unqualified
baseline-recovery-32,73,regressed,improved,unqualified
baseline-recovery-32,74,improved,improved,unqualified
baseline-recovery-32,75,regressed,improved,unqualified
baseline-recovery-32,76,improved,regressed,unqualified
baseline-recovery-32,77,regressed,improved,unqualified
baseline-recovery-32,78,improved,improved,unqualified
baseline-recovery-32,79,improved,regressed,unqualified
baseline-recovery-32,80,improved,improved,unqualified
baseline-recovery-32,81,regressed,regressed,unqualified
baseline-recovery-32,82,improved,improved,unqualified
baseline-recovery-32,83,regressed,regressed,unqualified
baseline-recovery-32,84,improved,improved,unqualified
baseline-recovery-32,85,improved,improved,unqualified
baseline-recovery-32,86,improved,regressed,unqualified
baseline-recovery-32,87,regressed,regressed,unqualified
baseline-recovery-32,88,improved,improved,unqualified
baseline-recovery-32,89,improved,improved,unqualified
baseline-recovery-32,90,regressed,improved,unqualified
baseline-recovery-32,91,improved,improved,unqualified
baseline-recovery-32,92,improved,improved,unqualified
baseline-recovery-32,93,regressed,improved,unqualified
baseline-recovery-32,94,improved,regressed,unqualified
baseline-recovery-32,95,regressed,improved,unqualified
baseline-recovery-32,96,regressed,regressed,unqualified
baseline-recovery-32,97,improved,regressed,unqualified
baseline-recovery-32,98,regressed,improved,unqualified
baseline-recovery-32,99,regressed,regressed,unqualified
baseline-recovery-32,100,improved,regressed,unqualified
baseline-recovery-32,101,regressed,improved,unqualified
baseline-recovery-32,102,regressed,regressed,unqualified
baseline-recovery-32,103,improved,improved,unqualified
baseline-recovery-32,104,improved,regressed,unqualified
baseline-recovery-32,105,improved,improved,unqualified
baseline-recovery-32,106,regressed,regressed,unqualified
baseline-recovery-32,107,improved,improved,unqualified
baseline-recovery-32,108,improved,improved,unqualified
baseline-recovery-32,109,improved,regressed,unqualified
baseline-recovery-32,110,improved,improved,unqualified
baseline-recovery-32,111,regressed,regressed,unqualified
baseline-recovery-32,112,improved,regressed,unqualified
baseline-recovery-32,113,regressed,improved,unqualified
