state_id,component,mode,atom_index,seed,qualified,selected,minimum,maximum,mean,underflow_count,below_0_1,effective_n,owner,alpha,variance,scale_equation,denominator,denominator_margin,linear_weight_share
baseline-best-28,0,joint,,checkpoint,False,True,0.0016145475170839477,0.9999573289237036,0.7169497808508719,0,16,171.35420997453406,50,0.7999999999999999,1.4515947568734758e-05,4.728923754302452e-10,77.13609017018065,0.38568045085090324,3.431205016283435e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.6287277110945275,0.9999999357022402,0.9154681095228007,0,0,198.11853013547906,51,0.2,2.1114501148607914e-06,2.205964495596932e-10,152.66459093205086,0.7633229546602542,1.4945432688512092e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.1266338802143857e-06,0.9999607975049549,0.6488349106523947,0,26,154.5226208621233,52,1.0,2.6464974215327654e-07,2.4800883569042753e-11,59.05630401182421,0.29528152005912106,3.553104486950312e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.006294917018416807,0.9999991624399011,0.6763047024811775,0,20,163.94811774525215,53,1.0,4.461837634816974e-07,-1.5122680885326645e-11,64.55026237758068,0.3227513118879034,1.691814513821091e-05
baseline-best-28,0,joint,,checkpoint,False,True,6.8603378333180876e-77,0.9999830579709459,0.6367204118478551,0,36,152.60949673897355,54,1.0,8.199245163071567e-08,1.51753831723056e-10,56.633404250916286,0.28316702125458143,0.0002021943179451665
baseline-best-28,0,joint,,checkpoint,False,True,0.4783214107209272,0.9999999977325247,0.9023887708526486,0,0,193.28230131620364,55,0.2,1.071114154566445e-05,-2.4009830116014383e-11,150.04872319802047,0.7502436159901024,2.4687580470242333e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.4418327784861251,0.9999999023638969,0.9005464813220395,0,0,192.7101819163461,56,0.2,2.438965774716029e-06,-3.477913223275648e-11,149.6802652918987,0.7484013264594935,1.254538626464443e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,57,0.0,0.0002112391372089173,3.38540306898949e-14,200.0,1.0,4.423505140560009e-11
baseline-best-28,0,joint,,checkpoint,False,True,0.6138780917704004,0.9999997405632941,0.9129198728827231,0,0,197.09078045959313,58,0.2,2.5326271430283727e-05,5.836573010739857e-12,152.15494360403534,0.7607747180201767,9.691889608794168e-10
baseline-best-28,0,joint,,checkpoint,False,True,0.0,0.9999935523802655,0.5515377271561079,14,65,125.94058389652668,59,0.8999999999999999,3.94058414368392e-09,1.3806976612421759e-10,41.57821647343107,0.20789108236715534,0.006578485603717806
baseline-best-28,0,joint,,checkpoint,False,True,5.02659567756129e-11,0.9999987548260518,0.6601707542961586,0,29,157.33006571422158,60,0.8999999999999999,9.400422685616196e-08,-7.700549759474745e-10,63.304821901441116,0.31652410950720555,7.919653099276246e-05
