parameters,prediction,serial_id,n,A,B,C,truth_A,truth_B,truth_C,error_A,error_B,error_C,reference_A,reference_B,reference_C,qualified,stationarity,condition,reference_difference,loss
AB,analytic,66,100,6.996688993531064,0.4998312900090654,-0.398,7.0,0.5,-0.398,-0.0033110064689356733,-0.00016870999093460126,0.0,6.9966892034940384,0.4998312964141881,-0.398,True,2.8169929546744116e-09,7.475249420747441,3.000890392748547e-08,0.0001539885720015877
AB,analytic,67,100,6.935208952055084,0.49884017570880756,-0.579,7.0,0.5,-0.579,-0.06479104794491608,-0.001159824291192435,0.0,6.935209129531253,0.4988401813597819,-0.579,True,2.9911773161149385e-10,7.212066245197708,2.5590600882745013e-08,0.0022995101534397495
AB,analytic,68,100,6.020902511586311,0.5012034376889847,0.193,6.0,0.5,0.193,0.020902511586310624,0.0012034376889846765,0.0,6.0209024403956715,0.5012034354287687,0.193,True,8.57665598013512e-10,8.353445687601674,1.1823914940410463e-08,0.004266886981261382
AB,analytic,69,100,6.025533213285959,0.5002850641224206,0.567,6.0,0.5,0.567,0.025533213285958922,0.0002850641224205752,0.0,6.02553349043019,0.5002850722924691,0.567,True,5.046989255970493e-10,8.946292067612376,4.5994969832991896e-08,0.0016435165800199906
AB,analytic,70,100,7.911587573164885,0.49762075592496935,-0.671,8.0,0.5,-0.671,-0.08841242683511474,-0.002379244075030651,0.0,7.911587473812801,0.4976207531547846,-0.671,True,1.1420147894753434e-09,7.191963929233916,1.2557793612777862e-08,0.0013777828165731137
AB,analytic,71,100,5.990138822962854,0.4996374049226735,0.079,6.0,0.5,0.079,-0.00986117703714573,-0.00036259507732649965,0.0,5.990139135094808,0.4996374150858871,0.079,True,9.312169525603092e-10,8.151631326785662,5.210763006027588e-08,0.0024618347566274477
AB,analytic,72,100,8.009708042972486,0.5001684241427247,-0.489,8.0,0.5,-0.489,0.009708042972485842,0.00016842414272466577,0.0,8.009707886723206,0.5001684199525288,-0.489,True,1.7829483399223573e-09,7.437439496051435,1.9507487581657343e-08,7.760324628675696e-05
AB,analytic,73,100,6.990481876507867,0.5012730850484577,-0.573,7.0,0.5,-0.573,-0.00951812349213288,0.0012730850484576894,0.0,6.990481911697337,0.5012730861640219,-0.573,True,6.703071815782129e-11,7.241942468821802,5.033911888921202e-09,0.004039751333988148
AB,analytic,74,100,5.960053978001363,0.49874885742213015,0.169,6.0,0.5,0.169,-0.03994602199863717,-0.001251142577869846,0.0,5.960054032130341,0.4987488591584884,0.169,True,4.403297793902364e-11,8.288060505764001,9.081960910534806e-09,0.004672924640773331
AB,analytic,75,100,5.9488842469824075,0.4980418172495114,0.565,6.0,0.5,0.565,-0.051115753017592525,-0.0019581827504885907,0.0,5.9488842414446435,0.49804181708486656,0.565,True,1.702952063809937e-11,8.920638777913775,9.308912050070399e-10,0.0017571677260262866
AB,analytic,76,100,7.9649461416653295,0.49905606414988474,-0.659,8.0,0.5,-0.659,-0.03505385833467045,-0.0009439358501152628,0.0,7.964946383247743,0.49905607084401143,-0.659,True,2.1054632195868667e-10,7.220602255883635,3.033070180326231e-08,0.0012018861741127634
AB,analytic,77,100,5.91036179359514,0.4969114156618504,0.232,6.0,0.5,0.232,-0.0896382064048602,-0.0030885843381496247,0.0,5.91036177615811,0.4969114151068215,0.232,True,1.8218419933164714e-10,8.370623886765392,2.9502474141085028e-09,0.004696562125809062
AB,analytic,78,100,8.009157890269018,0.5003975252771795,-0.494,8.0,0.5,-0.494,0.009157890269017699,0.00039752527717951125,0.0,8.009157884110508,0.5003975251117891,-0.494,True,3.8716692772138476e-11,7.433032385116505,7.689335421611437e-10,0.0012584849958928279
AB,analytic,79,100,6.01085776164273,0.5003268467756093,-0.413,6.0,0.5,-0.413,0.01085776164272989,0.0003268467756093463,0.0,6.0108577565867405,0.50032684659298,-0.413,True,4.001010830123007e-11,7.364392011993318,8.4114274624611e-10,0.0006676222118159484
AB,analytic,80,100,7.075717684549441,0.5019216450929972,-0.586,7.0,0.5,-0.586,0.07571768454944117,0.0019216450929971929,0.0,7.075717447021714,0.5019216376336071,-0.586,True,1.8167399869038814e-09,7.2377721808322555,3.356941837624265e-08,0.0028362350587109297
AB,analytic,81,100,6.049176740215082,0.5017063316608754,0.235,6.0,0.5,0.235,0.049176740215082226,0.0017063316608754153,0.0,6.049176898882464,0.5017063366383975,0.235,True,1.5738227312108712e-09,8.426165083857592,2.6229581992397942e-08,0.0022455505599555067
AB,analytic,82,100,5.910495256887594,0.49703494359656053,0.561,6.0,0.5,0.561,-0.08950474311240608,-0.00296505640343947,0.0,5.9104952417716685,0.4970349431448718,0.561,True,4.123829369788203e-11,8.90487866954331,2.557471877276541e-09,0.0018710745676805785
AB,analytic,83,100,8.005756792554035,0.4998412045502941,-0.662,8.0,0.5,-0.662,0.005756792554034718,-0.000158795449705873,0.0,8.005756991719617,0.49984121005064797,-0.662,True,2.8957862424252205e-09,7.225934796972867,2.4877795068042637e-08,0.0008488916255741693
AB,analytic,84,100,5.911768692278685,0.49659280245593806,-0.148,6.0,0.5,-0.148,-0.0882313077213146,-0.003407197544061935,0.0,5.911768699142834,0.49659280269206735,-0.148,True,8.600017821277143e-11,7.754072991013874,1.1610989384300843e-09,0.0033609469247946866
AB,analytic,85,100,6.038904963555092,0.5017019249918582,-0.044,6.0,0.5,-0.044,0.03890496355509221,0.0017019249918581725,0.0,6.038904788440398,0.5017019191675983,-0.044,True,1.265125587745726e-09,7.9743061574683205,2.8997756274950562e-08,0.000669467171622323
AB,analytic,86,100,5.974254319153451,0.49867158598618255,-0.182,6.0,0.5,-0.182,-0.025745680846548602,-0.0013284140138174472,0.0,5.97425440252473,0.49867158885607477,-0.182,True,1.5153240108880777e-10,7.720588029979451,1.3955093498249572e-08,0.0006356342758128294
AB,analytic,87,100,6.0483138638884855,0.5012695137689,-0.182,6.0,0.5,-0.182,0.048313863888485464,0.0012695137689000546,0.0,6.048313887027245,0.501269514559446,-0.182,True,2.589461446773392e-11,7.747356212660258,3.825654518796107e-09,0.0005902641779782224
AB,analytic,88,100,6.0287402211419865,0.5018018559045135,-0.334,6.0,0.5,-0.334,0.02874022114198649,0.0018018559045135385,0.0,6.0287400858913465,0.5018018511051462,-0.334,True,7.071653510975137e-10,7.504724613964014,2.243431215474344e-08,0.0013183840105746875
AB,analytic,89,100,6.029258899201172,0.5014894674094267,-0.345,6.0,0.5,-0.345,0.02925889920117175,0.0014894674094266813,0.0,6.029258851751764,0.5014894657228337,-0.345,True,3.722099249046887e-11,7.484560110997214,7.869857432162625e-09,0.0008671953666658802
