dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-three,wider-double,monolithic,36,22145,this-search,10,9,10,13,1,0,13,0,0,0,0.271638625,0.715419875,0.309431749,0.279362083,0.067125708,0,256098304
regular-three,wider-double,assembled,36,22145,sum-of-components,26,20,26,13,1,0,13,0,0,0,0.266836708,0,0,0.298542792,0.062280667,0,256098304
regular-three,wider-double,00:baseline:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.035866459,0.073618584,0.0316045,0.037378542,0.008819125,0,256098304
regular-three,wider-double,01:baseline:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.036615084,0.075022292,0.032087209,0.037598,0.00902975,0,256098304
regular-three,wider-double,02:near-0.10:1,12,7243,this-search,10,8,10,13,1,1,13,0,0,0,0.036020667,0.094252667,0.039749667,0.03782475,0.008923458,0,256098304
regular-three,mixed-double,monolithic,36,22145,this-search,10,9,10,13,1,0,13,0,0,0,0.27178475,0.732504708,0.3193242929999999,0.278236583,0.066318708,0,256098304
regular-three,mixed-double,assembled,36,22145,sum-of-components,24,20,24,13,1,0,13,0,0,0,0.265540917,0,0,0.293434042,0.061651042,0,256098304
regular-three,mixed-double,00:baseline:1,12,7451,this-search,7,6,7,13,1,1,13,0,0,0,0.035941625,0.064316875,0.027785042,0.036885209,0.0090355,0,256098304
regular-three,mixed-double,01:baseline:1,12,7451,this-search,7,6,7,13,1,1,13,0,0,0,0.035738,0.064051584,0.027657542,0.0370675,0.009097584,0,256098304
regular-three,mixed-double,02:near-0.10:1,12,7243,this-search,10,8,10,13,1,1,13,0,0,0,0.035851458,0.092288375,0.039138877,0.036924958,0.008749875,0,256098304
regular-three,first-stage-float32,monolithic,36,22145,this-search,7,6,7,13,103,0,13,1,0,0,0.27053675,0.541884875,0.241815667,0.368219584,43.809032916,41.232683167,256098304
regular-three,first-stage-float32,assembled,36,22145,sum-of-components,19,15,19,13,103,0,13,1,0,0,0.268221292,0,0,0.330607125,30.2753865,27.704103084,256098304
regular-three,first-stage-float32,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.036337417,0.060876958,0.026700791,0.04104975,0.61149225,0.109606541,256098304
regular-three,first-stage-float32,01:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.036065167,0.060199667,0.026191083000000004,0.041137416,0.610928917,0.109645458,256098304
regular-three,first-stage-float32,02:near-0.10:1,12,7243,this-search,7,5,7,13,103,1,13,1,0,0,0.035744333,0.068515792,0.029818376000000004,0.038902042,0.617724958,0.118033,256098304
regular-three,narrower-float32,monolithic,36,22145,this-search,12,11,12,13,1,0,13,0,0,0,0.272953875,0.908760125,0.389601501,0.285704875,0.067274,0,256098304
regular-three,narrower-float32,assembled,36,22145,sum-of-components,26,21,26,13,1,0,13,0,0,0,0.268663958,0,0,0.295283125,0.061337458,0,256098304
regular-three,narrower-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.036112542,0.065809708,0.028503915,0.038047458,0.008924541,0,256098304
regular-three,narrower-float32,01:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.036125667,0.065926917,0.028427874,0.038150083,0.008901333,0,256098304
regular-three,narrower-float32,02:near-0.10:1,12,7243,this-search,12,11,12,13,1,1,13,0,0,0,0.0358145,0.115784542,0.048222083,0.037587208,0.008937209,0,256098304
regular-three,wider-float32,monolithic,36,22145,this-search,10,9,10,13,1,0,13,0,0,0,0.278869292,0.737542375,0.319678082,0.284480125,0.065652792,0,256098304
regular-three,wider-float32,assembled,36,22145,sum-of-components,26,20,26,13,1,0,13,0,0,0,0.267031208,0,0,0.292289083,0.061699792,0,256098304
regular-three,wider-float32,00:baseline:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.036306625,0.075551083,0.032278457999999996,0.037783375,0.008771417,0,256098304
regular-three,wider-float32,01:baseline:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.036215542,0.075315709,0.032380624999999996,0.03772125,0.008982417,0,256098304
regular-three,wider-float32,02:near-0.10:1,12,7243,this-search,10,8,10,13,1,1,13,0,0,0,0.036031625,0.095298583,0.040171250000000006,0.037494958,0.009016375,0,256098304
regular-three,mixed-float32,monolithic,36,22145,this-search,10,9,10,13,1,0,13,0,0,0,0.269473834,0.736255916,0.319849625,0.292819166,0.06671325,0,256098304
regular-three,mixed-float32,assembled,36,22145,sum-of-components,24,18,24,13,1,0,13,0,0,0,0.264527333,0,0,0.295630084,0.062625459,0,256098304
regular-three,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.036504791,0.065769416,0.028362164999999998,0.037785583,0.008918458,0,256098304
regular-three,mixed-float32,01:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.036404458,0.065369958,0.028277792000000003,0.037750875,0.009009875,0,256098304
regular-three,mixed-float32,02:near-0.10:1,12,7243,this-search,10,8,10,13,1,1,13,0,0,0,0.036197417,0.09411725,0.040214375000000004,0.037405417,0.009376917,0,256098304
regular-two,first-stage-double,monolithic,24,14902,this-search,9,7,9,13,103,0,13,1,0,0,0.114743,0.262782208,0.110628583,0.112291083,27.992877583,26.725969042,193314816
regular-two,first-stage-double,assembled,24,14902,sum-of-components,23,19,23,13,103,0,13,1,0,0,0.108338959,0,0,0.118092209,27.995936084,26.735199,205455360
regular-two,first-stage-double,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.035879375,0.053139583,0.023247542000000003,0.037167542,0.620041708,0.109558833,205651968
