state_id,serial_id,prediction,metric,n,bias,rmse,p99,max
baseline-best-28,124,analytic,estimation,200,-0.0004158273850729477,0.0006760801171666502,0.0012465928883813593,0.0015385889523630292
baseline-best-28,124,analytic,operator,200,0.0059163859236917495,0.06628154013359264,0.24652858083297927,0.4083807883393547
baseline-best-28,124,analytic,total,200,0.0055005585386188015,0.0662836724070204,0.24596892459177144,0.4068421993869917
baseline-best-28,124,matched,estimation,200,-0.00042001004160886654,0.0006688419596451148,0.0012135891757052986,0.001447819979337378
baseline-best-28,124,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,124,matched,total,200,-0.00042001004160886654,0.0006688419596451148,0.0012135891757052986,0.001447819979337378
baseline-best-28,125,analytic,estimation,200,0.0007090195742092234,0.0012157656573428047,0.002992456791207909,0.0030578477497276713
baseline-best-28,125,analytic,operator,200,0.0012554405428712061,0.05202126601965666,0.21511593706448173,0.2674767339759906
baseline-best-28,125,analytic,total,200,0.0019644601170804295,0.05216295354889987,0.21462569283175825,0.26895898773422244
baseline-best-28,125,matched,estimation,200,0.0007029091513821207,0.0012098475365797303,0.0029387058872798015,0.003051017333885936
baseline-best-28,125,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,125,matched,total,200,0.0007029091513821207,0.0012098475365797303,0.0029387058872798015,0.003051017333885936
baseline-best-28,126,analytic,estimation,200,-0.0010567304779842373,0.001333108086914841,0.002450104729328384,0.0025861119276564537
baseline-best-28,126,analytic,operator,200,-0.0005677798237362152,0.04459571611308569,0.19004635239511186,0.25876084271717503
baseline-best-28,126,analytic,total,200,-0.0016245103017204527,0.044920465875591314,0.19095852131447363,0.2587221226026783
baseline-best-28,126,matched,estimation,200,-0.001061541419502962,0.001315037792164671,0.0025687893101009607,0.00275292836158636
baseline-best-28,126,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,126,matched,total,200,-0.001061541419502962,0.001315037792164671,0.0025687893101009607,0.00275292836158636
baseline-best-28,127,analytic,estimation,200,-4.038315874636749e-05,0.0007229516581776088,0.0030807618916095514,0.0034000074185116524
baseline-best-28,127,analytic,operator,200,0.002956072706021885,0.05442348147376566,0.19614575331625866,0.37175981630647154
baseline-best-28,127,analytic,total,200,0.0029156895472755174,0.05435390778785873,0.19572747799010778,0.37253963902941095
baseline-best-28,127,matched,estimation,200,-3.09687968328356e-05,0.0007172326842734162,0.0031034112213048637,0.00341269990408799
baseline-best-28,127,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,127,matched,total,200,-3.09687968328356e-05,0.0007172326842734162,0.0031034112213048637,0.00341269990408799
baseline-best-28,128,analytic,estimation,200,-0.0004250199833286469,0.0005759243589264535,0.0009108632957322005,0.0009288881477076405
baseline-best-28,128,analytic,operator,200,0.0011835691986378726,0.011381545790314527,0.03936764473966772,0.1212408787830388
baseline-best-28,128,analytic,total,200,0.0007585492153092257,0.01133465438147542,0.03866636125870074,0.12035321692112144
baseline-best-28,128,matched,estimation,200,-0.0004250279893159106,0.0005749242102986744,0.0009202095194536519,0.0009726672335464981
baseline-best-28,128,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,128,matched,total,200,-0.0004250279893159106,0.0005749242102986744,0.0009202095194536519,0.0009726672335464981
baseline-best-28,129,analytic,estimation,200,-0.0005756516717001693,0.0013341377363036322,0.003851578103343023,0.00403150893817239
baseline-best-28,129,analytic,operator,200,-0.002388941474215008,0.06055321959490822,0.2475231141247152,0.3108034743586289
baseline-best-28,129,analytic,total,200,-0.0029645931459151777,0.060756169048073155,0.24881487608240724,0.31166278751053456
baseline-best-28,129,matched,estimation,200,-0.0005771584886012789,0.0013322759397673663,0.003756376613504475,0.004029312854351819
baseline-best-28,129,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,129,matched,total,200,-0.0005771584886012789,0.0013322759397673663,0.003756376613504475,0.004029312854351819
baseline-best-28,130,analytic,estimation,200,0.0012591725537352016,0.001902302929078202,0.00423285576676255,0.004771415275283297
baseline-best-28,130,analytic,operator,200,0.00175226645782209,0.0496263313142328,0.1714589796738124,0.20155625708664904
baseline-best-28,130,analytic,total,200,0.0030114390115572915,0.04969454425264349,0.17415422182836882,0.20318551452667644
baseline-best-28,130,matched,estimation,200,0.001220558906967564,0.0018761545864102742,0.004113550463624369,0.004343509679857527
baseline-best-28,130,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,130,matched,total,200,0.001220558906967564,0.0018761545864102742,0.004113550463624369,0.004343509679857527
baseline-best-28,131,analytic,estimation,200,-0.0033416287038848095,0.0036189680638184676,0.005021414890335363,0.005296035712722302
baseline-best-28,131,analytic,operator,200,0.012485535444838993,0.0565549027385114,0.17760140111573575,0.38410484232635317
baseline-best-28,131,analytic,total,200,0.009143906740954184,0.056073032370924925,0.17667171419084926,0.3810229276624697
baseline-best-28,131,matched,estimation,200,-0.003366314098023353,0.0036424621399495784,0.005046335169644034,0.005208856546613072
baseline-best-28,131,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,131,matched,total,200,-0.003366314098023353,0.0036424621399495784,0.005046335169644034,0.005208856546613072
baseline-best-28,132,analytic,estimation,200,0.0012714413351526317,0.0017520907258016115,0.0033046516980070884,0.003426961945863116
baseline-best-28,132,analytic,operator,200,-0.00026766399588990127,0.04243459186350462,0.17848522920573928,0.19756551990514626
baseline-best-28,132,analytic,total,200,0.0010037773392627303,0.04254939526059343,0.18005409584790844,0.19623906149395454
baseline-best-28,132,matched,estimation,200,0.0012644634197087818,0.0017266348019145748,0.003269846467632398,0.0034679148351932643
baseline-best-28,132,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,132,matched,total,200,0.0012644634197087818,0.0017266348019145748,0.003269846467632398,0.0034679148351932643
baseline-best-28,133,analytic,estimation,200,0.00012915645068760113,0.0008809855420540303,0.0018968575223044515,0.0019072740059531412
baseline-best-28,133,analytic,operator,200,0.007346380118407912,0.0473331225559667,0.18155225050140006,0.20872849058363785
baseline-best-28,133,analytic,total,200,0.007475536569095513,0.04755967321549541,0.18330431139027575,0.21062847348554603
baseline-best-28,133,matched,estimation,200,0.00010603920554935817,0.0008612516449059029,0.0018975073847677382,0.001965054359559515
baseline-best-28,133,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,133,matched,total,200,0.00010603920554935817,0.0008612516449059029,0.0018975073847677382,0.001965054359559515
baseline-best-28,134,analytic,estimation,200,0.002851620391727393,0.0032818049327604727,0.005409263589847946,0.005493271565971125
baseline-best-28,134,analytic,operator,200,-0.004609270344700448,0.05925448642575268,0.20867625831545447,0.31554006627745423
