dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
active-a,guarded,first-stage-double,mixed-double,8.005224782435198e-08,1.9907352333259354e-07,False,False
active-a,guarded,narrower-double,wider-double,5.778984019022689e-08,9.197537031990777e-08,False,False
active-a,guarded,narrower-double,mixed-double,1.4492807617989489e-08,2.8803662455167967e-08,False,False
active-a,guarded,wider-double,mixed-double,4.463362368142592e-08,7.103659882545799e-08,False,False
active-a,guarded,first-stage-float32,narrower-float32,3.121649091037507e-08,7.755245834406566e-08,False,False
active-a,guarded,first-stage-float32,wider-float32,1.1630186553886306e-07,1.850990113405615e-07,False,False
active-a,guarded,first-stage-float32,mixed-float32,3.1202960469697655e-08,7.751885067186493e-08,False,False
active-a,guarded,narrower-float32,wider-float32,1.24617594836667e-07,1.98335021739382e-07,False,False
active-a,guarded,narrower-float32,mixed-float32,1.94200838496237e-08,3.090802791483327e-08,False,False
active-a,guarded,wider-float32,mixed-float32,1.0519751302998785e-07,1.6742699382454873e-07,False,False
active-a,guarded-log,first-stage-double,narrower-double,4.9880811174585505e-08,9.800958211680921e-08,False,False
active-a,guarded-log,first-stage-double,wider-double,3.380279511686515e-08,5.379880341216392e-08,False,False
active-a,guarded-log,first-stage-double,mixed-double,3.201154772581665e-08,7.960617143254467e-08,False,False
active-a,guarded-log,narrower-double,wider-double,4.163170786116947e-08,8.180112198719058e-08,False,False
active-a,guarded-log,narrower-double,mixed-double,5.8509242812207944e-08,1.2100374546797354e-07,False,False
active-a,guarded-log,wider-double,mixed-double,6.432947053671756e-08,1.0713302223130938e-07,False,False
active-a,guarded-log,first-stage-float32,narrower-float32,1.769523944256203e-07,2.8162843923595915e-07,False,False
active-a,guarded-log,first-stage-float32,wider-float32,1.2430330702139137e-07,1.9783411653317984e-07,False,False
active-a,guarded-log,first-stage-float32,mixed-float32,1.6009603386457134e-07,2.548005011426824e-07,False,False
active-a,guarded-log,narrower-float32,wider-float32,5.2649093948685395e-08,8.379432270277931e-08,False,False
active-a,guarded-log,narrower-float32,mixed-float32,1.6856363259685855e-08,2.682793809327677e-08,False,False
active-a,guarded-log,wider-float32,mixed-float32,3.579273129233482e-08,5.696638460950254e-08,False,False
zero-signal,legacy,first-stage-double,narrower-double,0.17752115957239384,0.45570134015545494,False,False
zero-signal,legacy,first-stage-double,wider-double,0.058548809455165246,0.15386541380144003,False,False
zero-signal,legacy,first-stage-double,mixed-double,0.26215660076304204,0.6679791592231599,False,False
zero-signal,legacy,narrower-double,wider-double,0.12637123550545104,0.3018359263540149,False,False
zero-signal,legacy,narrower-double,mixed-double,0.10290287972228722,0.21227781906770488,False,False
zero-signal,legacy,wider-double,mixed-double,0.21627015118016402,0.5141137454217197,False,False
zero-signal,legacy,first-stage-float32,narrower-float32,0.0002587511686738746,0.0006720090109053611,False,False
zero-signal,legacy,first-stage-float32,wider-float32,0.00034453171714344014,0.0008948914879566838,False,False
zero-signal,legacy,first-stage-float32,mixed-float32,0.0002452541863246029,0.0006369445008253538,False,False
zero-signal,legacy,narrower-float32,wider-float32,8.580275003141159e-05,0.0002228824770513227,False,False
zero-signal,legacy,narrower-float32,mixed-float32,1.3500293352733043e-05,3.506451008000733e-05,False,False
zero-signal,legacy,wider-float32,mixed-float32,9.930188502184874e-05,0.00025794698713133,False,False
zero-signal,guarded,first-stage-double,narrower-double,0.17752115957239384,0.45570134015545494,False,False
zero-signal,guarded,first-stage-double,wider-double,0.058548809455165246,0.15386541380144003,False,False
zero-signal,guarded,first-stage-double,mixed-double,0.26215660076304204,0.6679791592231599,False,False
zero-signal,guarded,narrower-double,wider-double,0.12637123550545104,0.3018359263540149,False,False
zero-signal,guarded,narrower-double,mixed-double,0.10290287972228722,0.21227781906770488,False,False
zero-signal,guarded,wider-double,mixed-double,0.21627015118016402,0.5141137454217197,False,False
zero-signal,guarded,first-stage-float32,narrower-float32,0.0002587511686738746,0.0006720090109053611,False,False
zero-signal,guarded,first-stage-float32,wider-float32,0.00034453171714344014,0.0008948914879566838,False,False
zero-signal,guarded,first-stage-float32,mixed-float32,0.0002452541863246029,0.0006369445008253538,False,False
zero-signal,guarded,narrower-float32,wider-float32,8.580275003141159e-05,0.0002228824770513227,False,False
zero-signal,guarded,narrower-float32,mixed-float32,1.3500293352733043e-05,3.506451008000733e-05,False,False
zero-signal,guarded,wider-float32,mixed-float32,9.930188502184874e-05,0.00025794698713133,False,False
