dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
baseline,guarded,mixed-float32,search,0.092255167,1206157312,fit total
baseline,guarded,mixed-float32,endpoint_audit,0.056488917,1206157312,fit total
baseline,guarded,mixed-float32,search reference,0.040825542,1206157312,search; RSS is search-process high-water mark
baseline,guarded,mixed-float32,new endpoint audit,0,135004160,audit process
baseline,guarded,mixed-float32,high precision,0,,new endpoint audit
baseline,guarded-log,first-stage-double,search,0.078938709,1206157312,fit total
baseline,guarded-log,first-stage-double,endpoint_audit,0.057223917,1206157312,fit total
baseline,guarded-log,first-stage-double,search reference,0.035186126,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,first-stage-double,new endpoint audit,0,134283264,audit process
baseline,guarded-log,first-stage-double,high precision,0,129974272,new endpoint audit
baseline,guarded-log,narrower-double,search,0.094706,1206157312,fit total
baseline,guarded-log,narrower-double,endpoint_audit,0.057607458,1206157312,fit total
baseline,guarded-log,narrower-double,search reference,0.042705208999999994,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,narrower-double,new endpoint audit,0.03857575,135004160,audit process
baseline,guarded-log,narrower-double,high precision,0,,new endpoint audit
baseline,guarded-log,wider-double,search,0.107381083,1206157312,fit total
baseline,guarded-log,wider-double,endpoint_audit,0.06032725,1206157312,fit total
baseline,guarded-log,wider-double,search reference,0.046981125,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,wider-double,new endpoint audit,0.021996334,135004160,audit process
baseline,guarded-log,wider-double,high precision,0,,new endpoint audit
baseline,guarded-log,mixed-double,search,0.103053792,1206157312,fit total
baseline,guarded-log,mixed-double,endpoint_audit,0.056180958,1206157312,fit total
baseline,guarded-log,mixed-double,search reference,0.044187167000000006,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,mixed-double,new endpoint audit,0.028342417,135004160,audit process
baseline,guarded-log,mixed-double,high precision,0,,new endpoint audit
baseline,guarded-log,first-stage-float32,search,0.078667708,1206157312,fit total
baseline,guarded-log,first-stage-float32,endpoint_audit,0.0549865,1206157312,fit total
baseline,guarded-log,first-stage-float32,search reference,0.035243626,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,first-stage-float32,new endpoint audit,0,135151616,audit process
baseline,guarded-log,first-stage-float32,high precision,0,135151616,new endpoint audit
baseline,guarded-log,narrower-float32,search,0.092381125,1206157312,fit total
baseline,guarded-log,narrower-float32,endpoint_audit,0.057491917,1206157312,fit total
baseline,guarded-log,narrower-float32,search reference,0.040782041000000005,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,narrower-float32,new endpoint audit,0.025337708,135004160,audit process
baseline,guarded-log,narrower-float32,high precision,0,,new endpoint audit
baseline,guarded-log,wider-float32,search,0.105971167,1206157312,fit total
baseline,guarded-log,wider-float32,endpoint_audit,0.056690625,1206157312,fit total
baseline,guarded-log,wider-float32,search reference,0.046881957,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,wider-float32,new endpoint audit,0.027639958,135004160,audit process
baseline,guarded-log,wider-float32,high precision,0,,new endpoint audit
