dataset,case,required_regular,both_regular,available,passed,reason,scaled_ac_difference,scaled_b_difference,maximum_log_b_difference,normalized_prediction_inf_difference,normalized_objective_difference,numeric_passed
regular-weak,mixed-float32,False,False,True,True,nonregular-control,3.3768319794501155e-13,7.679233838112492e-11,2.474420668363564e-10,1.0711839362464971e-15,2.7507444812159636e-25,True
regular-zero,first-stage-double,False,False,True,True,nonregular-control,2.157004733557445e-15,4.1874292126616096e-05,0.00011199985871956919,5.5396313487284817e-17,2.486937623171689e-32,False
regular-zero,narrower-double,False,False,True,True,nonregular-control,1.015061051085857e-15,0.0013051229301526957,0.0026908317982949487,3.9103280108671634e-17,9.731830903512904e-33,False
regular-zero,wider-double,False,False,True,True,nonregular-control,1.8361504196528724e-15,0.00036034611683747036,0.0008779716431352447,4.5620493460116907e-17,2.040115854923463e-32,False
regular-zero,mixed-double,False,False,True,True,nonregular-control,1.141943682471589e-15,0.0020472417614954583,0.0038124499446731686,3.9103280108671634e-17,3.244794093019963e-32,False
regular-zero,first-stage-float32,False,False,True,True,nonregular-control,2.5220692590569518e-11,7.715884921238834e-05,0.00020045274070551455,3.416974960857191e-14,6.810386691858776e-26,False
regular-zero,narrower-float32,False,False,True,True,nonregular-control,1.286620121657398e-11,5.7318778828428245e-05,0.00014888727251688438,1.0548924463126971e-14,4.187127244902436e-26,False
regular-zero,wider-float32,False,False,True,True,nonregular-control,3.1567688908106432e-12,1.4043450974739458e-05,3.64746580010511e-05,2.582445791035022e-15,1.0431042227669387e-25,False
regular-zero,mixed-float32,False,False,True,True,nonregular-control,1.4424764529393266e-12,6.439783198642331e-06,1.6726703329195125e-05,1.187762133542291e-15,2.4099697547808797e-25,False
weak-1e-2,first-stage-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,narrower-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,wider-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,mixed-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,first-stage-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,narrower-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,wider-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-2,mixed-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,first-stage-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,narrower-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,wider-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,mixed-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,first-stage-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,narrower-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,wider-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
weak-1e-4,mixed-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,first-stage-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,narrower-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,wider-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,mixed-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,first-stage-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,narrower-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,wider-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
zero-signal,mixed-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
