dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
weak-1e-2,wider-float32,monolithic,12,7451,this-search,10,9,10,13,1,0,0,0,0,0,3.584e-06,0.191038208,0.07563787699999999,0.064750375,0.019673917,0,62062592
weak-1e-2,wider-float32,assembled,12,7451,sum-of-components,10,9,10,13,1,0,0,0,0,0,2.959e-06,0,0,0.075718792,0.013184375,0,40763392
weak-1e-2,wider-float32,1,12,7451,this-search,10,9,10,13,1,1,0,0,0,0,2.25e-06,0.191665375,0.079696833,0.069295417,0.01566375,0,62062592
weak-1e-2,mixed-float32,monolithic,12,7451,this-search,9,8,9,13,1,0,0,0,0,0,3.417e-06,0.153247792,0.074070628,0.065464792,0.023522333,0,62062592
weak-1e-2,mixed-float32,assembled,12,7451,sum-of-components,9,8,9,13,1,0,0,0,0,0,3e-06,0,0,0.07085425,0.015759625,0,42827776
weak-1e-2,mixed-float32,1,12,7451,this-search,9,8,9,13,1,1,0,0,0,0,3.583e-06,0.154943708,0.07360408400000001,0.070194375,0.017935125,0,62062592
weak-1e-4,first-stage-double,monolithic,12,7451,this-search,9,8,9,13,103,0,0,1,0,0,4.042e-06,0.180733292,0.077404708,0.061957208,24.169867709,23.139534,180207616
weak-1e-4,first-stage-double,assembled,12,7451,sum-of-components,9,8,9,13,103,0,0,1,0,0,2.833e-06,0,0,0.077677875,1.279685708,0.218977792,183910400
weak-1e-4,first-stage-double,1,12,7451,this-search,9,8,9,13,103,1,0,1,0,0,3.459e-06,0.166259083,0.067984666,0.086143875,1.255243833,0.196199834,184975360
weak-1e-4,narrower-double,monolithic,12,7451,this-search,9,8,9,13,103,0,0,1,0,0,3.25e-06,0.161626333,0.063630124,0.073881667,24.07245525,23.036336959,180322304
weak-1e-4,narrower-double,assembled,12,7451,sum-of-components,9,8,9,13,103,0,0,1,0,0,3.75e-06,0,0,0.079760833,1.250397708,0.214780667,181092352
weak-1e-4,narrower-double,1,12,7451,this-search,9,8,9,13,103,1,0,1,0,0,4.084e-06,0.16900775,0.073853794,0.072039167,1.264298041,0.205339625,185040896
weak-1e-4,wider-double,monolithic,12,7451,this-search,11,9,11,13,103,0,0,1,0,0,5.958e-06,0.221332416,0.091343291,0.068901459,23.414548041,22.324048042,170786816
weak-1e-4,wider-double,assembled,12,7451,sum-of-components,11,9,11,13,103,0,0,1,0,0,2.708e-06,0,0,0.074291875,1.214555083,0.214970333,173031424
weak-1e-4,wider-double,1,12,7451,this-search,11,9,11,13,103,1,0,1,0,0,1.4667e-05,0.201337709,0.088799085,0.065242709,1.318919791,0.203231833,175390720
weak-1e-4,mixed-double,monolithic,12,7451,this-search,11,9,11,13,103,0,0,1,0,0,4.666e-06,0.2000765,0.08482683399999999,0.0571705,23.306122084,22.233281583,165756928
weak-1e-4,mixed-double,assembled,12,7451,sum-of-components,11,9,11,13,103,0,0,1,0,0,2.958e-06,0,0,0.073735917,1.176784625,0.205521167,167608320
weak-1e-4,mixed-double,1,12,7451,this-search,11,9,11,13,103,1,0,1,0,0,1.0333e-05,0.189600334,0.08766845799999999,0.067823417,1.251678209,0.205203125,168443904
weak-1e-4,first-stage-float32,monolithic,12,7451,this-search,8,6,9,13,103,0,0,1,0,0,2.958e-06,0.156689,0.08254787499999999,0.073964417,23.480048041,22.372837834,172277760
weak-1e-4,first-stage-float32,assembled,12,7451,sum-of-components,8,6,9,13,103,0,0,1,0,0,2.875e-06,0,0,0.069680417,1.299665584,0.216448541,177537024
weak-1e-4,first-stage-float32,1,12,7451,this-search,8,6,9,13,103,1,0,1,0,0,3.541e-06,0.136510208,0.06045979,0.068876625,1.403983208,0.2035045,177635328
