dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-two,first-stage-float32,01:weak-1e-2:1,12,7451,this-search,17,16,17,13,103,1,13,1,0,0,0.072755709,0.305356083,0.13497720800000002,0.082137292,1.151399375,0.192230125,219971584
regular-two,narrower-float32,monolithic,24,14902,this-search,8,7,8,13,1,0,13,0,0,0,0.215383709,0.403529208,0.174385334,0.21477725,0.059087375,0,96305152
regular-two,narrower-float32,assembled,24,14902,sum-of-components,15,12,15,13,1,0,13,0,0,0,0.221597167,0,0,0.223830208,0.046039459,0,74858496
regular-two,narrower-float32,00:baseline:1,12,7451,this-search,7,6,7,13,1,1,13,0,0,0,0.076093042,0.12541425,0.049634291999999997,0.066358041,0.024341875,0,96305152
regular-two,narrower-float32,01:weak-1e-2:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.071369125,0.131068167,0.049819498999999996,0.064984833,0.01911725,0,96305152
regular-two,wider-float32,monolithic,24,14902,this-search,10,8,10,13,1,0,13,0,0,0,0.210564625,0.572839833,0.247540125,0.22353625,0.050134666,0,96321536
regular-two,wider-float32,assembled,24,14902,sum-of-components,18,15,18,13,1,0,13,0,0,0,0.214393042,0,0,0.22288125,0.049914375,0,76496896
regular-two,wider-float32,00:baseline:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.078200583,0.139237125,0.06452050200000001,0.076042209,0.020456792,0,96321536
regular-two,wider-float32,01:weak-1e-2:1,12,7451,this-search,10,8,10,13,1,1,13,0,0,0,0.073852833,0.186251125,0.086822167,0.069722875,0.01948725,0,96321536
regular-two,mixed-float32,monolithic,24,14902,this-search,9,8,9,13,1,0,13,0,0,0,0.196080875,0.497037041,0.22320146000000002,0.222740958,0.065456375,0,96321536
regular-two,mixed-float32,assembled,24,14902,sum-of-components,16,13,16,13,1,0,13,0,0,0,0.215365208,0,0,0.22498625,0.050094417,0,80412672
regular-two,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.078337958,0.113730958,0.051898292,0.075326125,0.01907475,0,96321536
regular-two,mixed-float32,01:weak-1e-2:1,12,7451,this-search,9,8,9,13,1,1,13,0,0,0,0.076485625,0.151164041,0.06705579199999999,0.07622575,0.019444292,0,96321536
regular-weak,first-stage-double,monolithic,24,14902,this-search,9,7,9,13,103,0,13,1,0,0,0.252701166,0.522161459,0.22201528999999998,0.2227395,47.014957584,44.477517125,205291520
regular-weak,first-stage-double,assembled,24,14902,sum-of-components,15,13,15,13,103,0,13,1,0,0,0.210043667,0,0,0.242896583,47.462032375,44.894497792,219185152
regular-weak,first-stage-double,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.073399041,0.10891,0.054824751,0.072082625,1.197170333,0.192201708,219365376
regular-weak,first-stage-double,01:weak-1e-4:1,12,7451,this-search,9,8,9,13,103,1,13,1,0,0,0.069548125,0.182463125,0.075486834,0.080347,1.269284792,0.20936575,219480064
regular-weak,narrower-double,monolithic,24,14902,this-search,9,8,9,13,103,0,13,1,0,0,0.2311005,0.505672792,0.21841845899999998,0.239187792,47.041770291,44.457988708,207618048
regular-weak,narrower-double,assembled,24,14902,sum-of-components,16,14,16,13,103,0,13,1,0,0,0.215352458,0,0,0.246862375,47.368433458,44.818289542,208044032
regular-weak,narrower-double,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.071146542,0.139797,0.058477793,0.079591916,1.229167042,0.200830125,208322560
regular-weak,narrower-double,01:weak-1e-4:1,12,7451,this-search,9,8,9,13,103,1,13,1,0,0,0.073205209,0.16503825,0.075184456,0.082841333,1.227663667,0.204358083,208437248
regular-weak,wider-double,monolithic,24,14902,this-search,11,10,11,13,103,0,13,1,0,0,0.229697083,0.663536542,0.25672866699999997,0.235918959,47.550304458,44.996103541,200949760
regular-weak,wider-double,assembled,24,14902,sum-of-components,19,15,19,13,103,0,13,1,0,0,0.218113042,0,0,0.232757791,47.219997708,44.598638958,209321984
regular-weak,wider-double,00:baseline:1,12,7451,this-search,8,6,8,13,103,1,13,1,0,0,0.076691,0.143639834,0.053587625,0.069508417,1.170656292,0.186806708,209518592
regular-weak,wider-double,01:weak-1e-4:1,12,7451,this-search,11,9,11,13,103,1,13,1,0,0,0.078705583,0.217926208,0.09456250000000001,0.075072625,1.2773285,0.220559125,212090880
regular-weak,mixed-double,monolithic,24,14902,this-search,10,9,10,13,103,0,13,1,0,0,0.223635875,0.590962916,0.25070496000000003,0.231908125,46.971791083,44.387446209,213352448
regular-weak,mixed-double,assembled,24,14902,sum-of-components,18,16,18,13,103,0,13,1,0,0,0.204907542,0,0,0.241474708,46.951995834,44.443954625,215416832
regular-weak,mixed-double,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.086012542,0.127371084,0.061165663,0.079107625,1.181811791,0.196654792,215695360
regular-weak,mixed-double,01:weak-1e-4:1,12,7451,this-search,11,10,11,13,103,1,13,1,0,0,0.069312875,0.203152875,0.089275461,0.073175792,1.243516875,0.208571708,215810048
regular-weak,first-stage-float32,monolithic,24,14902,this-search,8,6,9,13,103,0,13,1,0,0,0.226881417,0.508555459,0.227887501,0.230652083,46.976500333,44.35336775,211943424
regular-weak,first-stage-float32,assembled,24,14902,sum-of-components,14,10,15,13,103,0,13,1,0,0,0.204899375,0,0,0.248938833,46.923063792,44.381435917,213778432
regular-weak,first-stage-float32,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.071135834,0.111711334,0.043996335,0.080581625,1.249698,0.204437125,213778432
regular-weak,first-stage-float32,01:weak-1e-4:1,12,7451,this-search,8,6,9,13,103,1,13,1,0,0,0.068948875,0.150697875,0.069099043,0.078213042,1.270002166,0.221257459,213778432
