dataset,case,initialization_valid,execution_complete,joint_qualified,qualification_failure,endpoint_identified,known_unidentified,oracle_recovered,float32_accuracy_passed,independent_endpoint_replay_passed,rss,residual_rmse,projected_kkt,b_gradient_inf,local_correction_inf,profile_evaluations,accepted_updates,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
weak-1e-2,first-stage-float32,True,True,True,none,True,False,False,True,True,5.274631775234051e-12,2.6606563922406185e-08,1.249000902703301e-16,5.84988749552321e-17,1.2987718960966264e-14,17,15,-5.4229896279585814e-09,2.2129717369578494e-08,4.676065668007823e-08,4.676065668007823e-08,12,-1.2963960826136342e-08,4.507329943186906e-08,1.2539729515870235e-07,1.2539729515870235e-07,12,1.3118752684287045e-12,1.2175633464883738e-09,2.467093390690067e-09,2.467093390690067e-09,12
weak-1e-2,narrower-float32,True,True,True,none,True,False,False,True,True,5.274631772425151e-12,2.660656391532179e-08,1.6653345369377348e-16,4.718319394864626e-17,2.1498160839655172e-15,8,7,-5.422990591308352e-09,2.212971795080351e-08,4.676065845643507e-08,4.676065845643507e-08,12,-1.2963960030476507e-08,4.5073297587454706e-08,1.253972883863419e-07,1.253972883863419e-07,12,1.3119127456838002e-12,1.2175633413740635e-09,2.4670931408898866e-09,2.4670931408898866e-09,12
weak-1e-2,wider-float32,True,True,True,none,True,False,False,True,True,5.274631773909606e-12,2.660656391906577e-08,1.6653345369377348e-16,1.0015159295098694e-16,2.0564892118186527e-15,10,9,-5.422990155314518e-09,2.212971572004851e-08,4.676064957465087e-08,4.676064957465087e-08,12,-1.2963960160002527e-08,4.5073297637216184e-08,1.253972881642973e-07,1.253972881642973e-07,12,1.311927490833346e-12,1.2175633141949542e-09,2.4670930021120085e-09,2.4670930021120085e-09,12
weak-1e-2,mixed-float32,True,True,True,none,True,False,False,True,True,5.27463177543482e-12,2.6606563922912552e-08,1.1102230246251565e-16,7.466655731520129e-17,4.695687099229287e-15,9,8,-5.422990028101464e-09,2.2129715738815408e-08,4.676065223918613e-08,4.676065223918613e-08,12,-1.2963960340413768e-08,4.5073298176417427e-08,1.2539728921900917e-07,1.2539728921900917e-07,12,1.3119091316765585e-12,1.217563245617043e-09,2.4670928633341305e-09,2.4670928633341305e-09,12
weak-1e-4,first-stage-double,True,True,False,derivative-unverified,True,False,True,False,True,8.186531806223743e-28,3.3146882976484175e-16,1.3877787807814457e-16,5.35057038915696e-17,2.1858698273517952e-13,9,8,1.336613473258234e-15,2.0900417137344632e-15,4.440892098500626e-15,4.440892098500626e-15,12,6.393034250133193e-15,5.275378747618426e-14,1.6719958750854857e-13,1.6719958750854857e-13,12,-4.473576276492012e-17,2.5236065241817403e-16,5.273559366969494e-16,5.273559366969494e-16,12
weak-1e-4,narrower-double,True,True,False,derivative-unverified,True,False,True,False,True,1.9192854774240923e-27,5.075309214354709e-16,3.3306690738754696e-16,1.6655693641596595e-16,3.7163781246085066e-13,9,8,1.6189848940639795e-15,3.71751437660061e-15,1.0658141036401503e-14,1.0658141036401503e-14,12,-1.176836406102666e-14,5.5103558395190154e-14,1.4310774787418268e-13,1.4310774787418268e-13,12,-2.705762046709137e-17,3.6024721762532317e-16,8.531654657924215e-16,8.531654657924215e-16,12
weak-1e-4,wider-double,True,True,False,derivative-unverified,True,False,True,False,True,1.0870885484558996e-27,3.8196641514291263e-16,1.942890293094024e-16,8.629210057988486e-17,1.9625717193096787e-13,11,9,1.5052972612607702e-15,2.7834819219042996e-15,7.105427357601002e-15,7.105427357601002e-15,12,1.6958656701149266e-14,5.686844486946246e-14,1.9562129693895258e-13,1.9562129693895258e-13,12,-6.681960576573424e-17,2.6205012109868264e-16,5.551115123125783e-16,5.551115123125783e-16,12
weak-1e-4,mixed-double,True,True,False,derivative-unverified,True,False,True,False,True,1.2609761558269878e-27,4.113828243713614e-16,1.6653345369377348e-16,8.069624708984044e-17,1.3104490542915685e-13,11,9,1.6814801142896647e-15,3.3331673665862614e-15,7.105427357601002e-15,7.105427357601002e-15,12,6.929642045368685e-15,4.085456682824494e-14,1.2634338020234281e-13,1.2634338020234281e-13,12,-7.824551553556325e-17,3.39001653547401e-16,7.771561172376096e-16,7.771561172376096e-16,12
weak-1e-4,first-stage-float32,True,True,False,derivative-unverified,True,False,False,True,True,4.882103127468271e-12,2.5597419908684457e-08,3.3306690738754696e-16,1.7443694339948702e-15,2.719811133977267e-09,8,6,-8.124533096896539e-09,3.173454735381704e-08,6.803691121604061e-08,6.803691121604061e-08,12,5.100824714832086e-07,2.0428499641448538e-06,7.038822624427787e-06,7.038822624427787e-06,12,4.437341076100982e-10,1.2482180910610434e-09,1.868755011846801e-09,1.868755011846801e-09,12
weak-1e-4,narrower-float32,True,True,False,derivative-unverified,True,False,False,True,True,4.882103128652924e-12,2.5597419911790094e-08,1.3877787807814457e-16,2.3530264252463496e-16,3.6256063609925445e-10,10,7,-8.124127044950276e-09,3.1734718053971916e-08,6.80366403216226e-08,6.80366403216226e-08,12,5.102111084500279e-07,2.042991638711172e-06,7.039419540721958e-06,7.039419540721958e-06,12,4.4371987072718987e-10,1.2482165917640118e-09,1.868766363877228e-09,1.868766363877228e-09,12
